ProjectID,ContractID,Name,Description,StartDate,EndDate,Status,ProjectManager,Budget,ActualCost,Progress,Risk,CreatedOn,ModifiedOn
PRJ-001,CON-001,Data Encryption Implementation,Data encryption implementation project,2025-03-01,2025-09-28,Delayed,USER-005,219464,218798,14,Medium,2025-02-03,2025-02-10
PRJ-002,CON-002,TechCorp ERP Implementation,ERP system implementation project,2025-03-24,2025-07-15,Completed,USER-003,194024,779,1,Low,2025-02-06,2025-03-04
PRJ-003,CON-003,Security Awareness Training 2025,Security awareness training project,2025-03-12,2025-11-28,Delayed,USER-004,283975,62505,21,Medium,2025-01-05,2025-01-16
PRJ-004,CON-004,Data Encryption Implementation,Data encryption implementation project,2025-03-16,2025-06-05,Planning,USER-004,195484,143515,63,Medium,2024-11-29,2024-12-04
PRJ-005,CON-005,Penetration Testing,Penetration testing and vulnerability assessment project,2025-03-13,2025-11-08,Completed,USER-004,184116,5546,72,Medium,2025-02-06,2025-02-23
PRJ-006,CON-006,Incident Planning Project,Incident response and recovery planning project,2025-03-23,2025-07-29,Delayed,USER-004,155547,58630,86,Medium,2024-12-02,2024-12-14
PRJ-007,CON-007,Security Audit 2025,Comprehensive security audit project,2025-03-20,2025-07-09,Delayed,USER-004,296505,167390,67,Low,2024-12-30,2025-01-16
PRJ-008,CON-008,Cloud Migration RS,Cloud infrastructure migration project,2025-03-03,2025-12-19,Completed,USER-002,157296,135965,81,Medium,2025-01-21,2025-02-03
PRJ-009,CON-009,Network Security Upgrade,Network security upgrade project,2025-03-20,2025-10-03,In Progress,USER-003,99211,96122,30,Low,2024-12-20,2024-12-22
PRJ-010,CON-010,TechCorp ERP Implementation,ERP system implementation project,2025-03-18,2025-12-24,In Progress,USER-004,248573,96549,75,High,2025-01-01,2025-01-30
PRJ-011,CON-011,TechCorp ERP Implementation,ERP system implementation project,2025-02-27,2026-01-31,Delayed,USER-001,122128,18546,71,Medium,2025-02-19,2025-03-11
PRJ-012,CON-012,TechCorp ERP Implementation,ERP system implementation project,2025-03-08,2025-11-29,Not Started,USER-005,182301,0,0,Medium,2024-12-26,2025-01-03
PRJ-013,CON-013,Security Awareness Training 2025,Security awareness training project,2025-03-18,2025-06-02,On Hold,USER-005,225523,19330,40,Low,2025-02-18,2025-03-02
PRJ-014,CON-014,Security Audit 2025,Comprehensive security audit project,2025-03-08,2026-01-01,Delayed,USER-005,217246,174733,27,Medium,2025-01-14,2025-02-07
PRJ-015,CON-015,Digital Transformation MFG,Manufacturing digital transformation,2025-03-21,2025-10-09,On Hold,USER-004,299748,110610,61,Medium,2024-12-27,2025-01-16
PRJ-016,CON-016,TechCorp ERP Implementation,ERP system implementation project,2025-03-12,2025-11-23,Planning,USER-005,211565,108582,42,Low,2024-12-04,2024-12-21
PRJ-017,CON-017,Cloud Migration RS,Cloud infrastructure migration project,2025-03-22,2025-08-27,On Hold,USER-001,211917,80896,98,High,2024-12-12,2024-12-27
PRJ-018,CON-018,TechCorp ERP Implementation,ERP system implementation project,2025-03-06,2025-05-27,Not Started,USER-005,241008,0,0,High,2024-12-22,2025-01-03
PRJ-019,CON-019,Security Awareness Training 2025,Security awareness training project,2025-03-06,2025-11-12,Planning,USER-004,146922,10583,59,Low,2024-12-24,2024-12-24
PRJ-020,CON-020,Digital Transformation MFG,Manufacturing digital transformation,2025-03-07,2025-10-18,Not Started,USER-002,177244,0,0,Low,2025-01-04,2025-01-29
PRJ-021,CON-021,Security Audit 2025,Comprehensive security audit project,2025-03-11,2025-11-28,Completed,USER-001,298309,97693,14,Low,2025-02-16,2025-03-06
PRJ-022,CON-022,Penetration Testing,Penetration testing and vulnerability assessment project,2025-03-16,2025-11-01,In Progress,USER-003,229877,70909,24,Low,2024-11-24,2024-12-16
PRJ-023,CON-023,Cloud Migration RS,Cloud infrastructure migration project,2025-03-18,2025-06-22,Not Started,USER-001,123216,0,0,Medium,2025-02-03,2025-03-05
PRJ-024,CON-024,TechCorp ERP Implementation,ERP system implementation project,2025-03-16,2025-12-24,Delayed,USER-003,243627,172944,51,High,2024-12-09,2025-01-06
PRJ-025,CON-025,Data Encryption Implementation,Data encryption implementation project,2025-03-02,2025-08-14,On Hold,USER-004,117690,112957,99,Medium,2024-11-24,2024-12-12
PRJ-026,CON-026,Security Awareness Training 2025,Security awareness training project,2025-03-14,2025-12-04,Planning,USER-002,123712,72891,17,Medium,2025-01-05,2025-01-27
PRJ-027,CON-027,Incident Planning Project,Incident response and recovery planning project,2025-03-10,2025-11-25,In Progress,USER-005,161025,4633,61,Low,2025-01-07,2025-02-04
PRJ-028,CON-028,Security Awareness Training 2025,Security awareness training project,2025-03-20,2025-11-08,On Hold,USER-002,293613,246797,98,High,2025-01-30,2025-02-15
PRJ-029,CON-029,Data Encryption Implementation,Data encryption implementation project,2025-03-18,2025-08-03,Planning,USER-002,67244,63789,60,Medium,2025-01-31,2025-02-04
