MilestoneID,ContractID,Name,Description,DueDate,Amount,Status,CompletionDate,InvoiceID,CreatedOn,ModifiedOn
MIL-001,CON-001,System Live,System go-live,2025-10-12,51673.28,In Progress,,INV-001,2025-02-14,2025-02-24
MIL-002,CON-002,User Training,User training,2025-05-20,17443.33,Delayed,,,2024-11-29,2024-12-09
MIL-003,CON-003,Data Migration,Data migration completion,2025-04-14,60907.18,In Progress,,,2024-11-26,2024-12-26
MIL-004,CON-004,Data Migration,Data migration completion,2025-04-20,33964.18,Delayed,,INV-004,2025-01-06,2025-01-22
MIL-005,CON-005,Requirements Gathering,ERP requirements documentation,2025-07-25,55173.49,Planned,,INV-005,2025-01-06,2025-01-14
MIL-006,CON-006,Cloud Setup,Cloud platform setup,2025-03-31,69042.09,In Progress,,INV-006,2024-12-04,2024-12-24
MIL-007,CON-007,Compliance Review,Regulatory compliance review completion,2025-09-22,39759.75,In Progress,,,2025-01-14,2025-01-23
MIL-008,CON-008,Cloud Setup,Cloud platform setup,2025-06-02,50491.13,Completed,2025-01-28,INV-008,2024-12-03,2024-12-06
MIL-009,CON-009,User Training,User training,2025-07-15,14637.3,Completed,2025-02-12,INV-009,2024-11-29,2024-12-21
MIL-010,CON-010,User Training,User training,2025-06-01,72974.17,In Progress,,,2025-01-21,2025-02-18
MIL-011,CON-011,System Configuration,ERP system setup and configuration,2025-07-13,72167.55,In Progress,,INV-011,2024-12-11,2024-12-12
MIL-012,CON-012,Final Report,Final security audit report delivery,2025-04-28,55192.31,Planned,,,2025-01-18,2025-02-02
MIL-013,CON-013,Data Migration,Data migration completion,2025-09-10,78379.61,Planned,,INV-013,2024-12-23,2025-01-22
MIL-014,CON-014,Data Migration,Data migration completion,2025-03-13,30040.49,Planned,,,2025-01-18,2025-02-06
MIL-015,CON-015,System Configuration,ERP system setup and configuration,2025-09-29,53010.83,In Progress,,,2025-02-02,2025-02-24
MIL-016,CON-016,Requirements Gathering,ERP requirements documentation,2025-09-18,11225.16,Completed,2025-01-25,INV-016,2025-01-27,2025-02-08
MIL-017,CON-017,System Configuration,ERP system setup and configuration,2025-04-03,86429.85,Delayed,,INV-017,2024-12-07,2025-01-06
MIL-018,CON-018,Initial Assessment,Security infrastructure assessment completion,2025-12-13,87849.77,In Progress,,,2025-01-06,2025-02-01
MIL-019,CON-019,Cloud Setup,Cloud platform setup,2025-08-27,87833.33,In Progress,,,2025-02-12,2025-02-28
MIL-020,CON-020,User Training,User training,2025-03-26,68500.07,Delayed,,,2024-11-30,2024-12-01
MIL-021,CON-021,Initial Assessment,Security infrastructure assessment completion,2025-09-28,69371.76,Planned,,,2024-11-30,2024-12-06
MIL-022,CON-022,Final Report,Final security audit report delivery,2026-01-22,74544.64,In Progress,,INV-022,2025-02-17,2025-03-03
MIL-023,CON-023,Final Report,Final security audit report delivery,2025-08-28,44710.38,Planned,,INV-023,2024-12-05,2024-12-27
MIL-024,CON-024,Final Report,Final security audit report delivery,2025-09-20,56371.95,Planned,,,2025-01-20,2025-02-15
MIL-025,CON-025,System Live,System go-live,2025-03-26,70199.82,Planned,,,2025-02-04,2025-03-04
MIL-026,CON-026,Compliance Review,Regulatory compliance review completion,2025-09-02,57783.18,Completed,2025-02-06,INV-026,2024-12-03,2024-12-24
MIL-027,CON-027,Requirements Gathering,ERP requirements documentation,2025-03-26,74421.41,Delayed,,,2024-12-30,2025-01-16
MIL-028,CON-028,System Configuration,ERP system setup and configuration,2025-08-22,98460.81,Planned,,,2024-12-20,2025-01-11
MIL-029,CON-029,User Training,User training,2025-09-09,87581.51,Planned,,,2025-02-13,2025-02-17
MIL-030,CON-030,Data Migration,Data migration completion,2025-10-01,89480.02,Planned,,INV-030,2024-12-20,2024-12-30
MIL-031,CON-031,Data Migration,Data migration completion,2026-01-01,43843.24,Planned,,,2025-02-12,2025-02-12
MIL-032,CON-032,System Configuration,ERP system setup and configuration,2026-01-03,38004.56,Planned,,INV-032,2025-02-09,2025-03-05
MIL-033,CON-033,Requirements Gathering,ERP requirements documentation,2025-05-26,71195.05,Planned,,,2024-11-24,2024-12-12
